Respondent,Age,Gender,COVID-19 Jab?,Race,Any reason for Hesitation,Reasons for Hesitation,Hesistation Status,Trust Level,Safety Level,Confidence Level,Accessibility ,Obstacles,Reasons for Hesitation_pol,Reasons for Hesitation_subj,Reasons for Hesitation_sent,Obstacles_sent,Accessibility_sent,Accessibility_n,Obstacles_n,Reasons for Hesitation_n,Respondent_n,Race_n,Confidence Level_n,Trust Level_n,Safety Level_n,Cluster,Obstacles_tk,Reasons for Hesitation_tk,Accessibility_tk 
Staff,19,2,1,White,1.0,Different things health long run,,Mostly trust,Mostly safe,Somewhat confident,Making appointments,hour half away campus,-0.025,0.5,negative,negative,neutral,205,427,39,0,18,3,2,0,0,"['hour', 'half', 'away', 'campus']","['Different', 'things', 'health', 'long', 'run']","['Making', 'appointments']"
Student,20,2,0,White,2.0,Different things health long run,3.0,Mostly trust,Very safe,Very confident,Making appointments,inability transportation vaccination sites,-0.025,0.5,negative,neutral,neutral,205,433,39,1,18,4,2,3,0,"['inability', 'transportation', 'vaccination', 'sites']","['Different', 'things', 'health', 'long', 'run']","['Making', 'appointments']"
Student,19,1,0,White,2.0,Different things health long run,3.0,Mostly trust,Very safe,Very confident,allowed exempt classes day,Scheduling,-0.025,0.5,negative,neutral,neutral,340,219,39,1,18,4,2,3,2,['Scheduling'],"['Different', 'things', 'health', 'long', 'run']","['allowed', 'exempt', 'classes', 'day']"
Student,44,1,0,White,2.0,Different things health long run,3.0,Mostly trust,Very safe,Very confident,allowed exempt classes day,Scheduling,-0.025,0.5,negative,neutral,neutral,340,219,39,1,18,4,2,3,2,['Scheduling'],"['Different', 'things', 'health', 'long', 'run']","['allowed', 'exempt', 'classes', 'day']"
Staff,30,1,1,White,2.0,Different things health long run,0.0,Mostly trust,Very safe,Very confident,allowed exempt classes day,Scheduling,-0.025,0.5,negative,neutral,neutral,340,219,39,0,18,4,2,3,2,['Scheduling'],"['Different', 'things', 'health', 'long', 'run']","['allowed', 'exempt', 'classes', 'day']"
Staff,30,1,1,White,2.0,Different things health long run,0.0,Mostly trust,Very safe,Very confident,allowed exempt classes day,Scheduling,-0.025,0.5,negative,neutral,neutral,340,219,39,0,18,4,2,3,2,['Scheduling'],"['Different', 'things', 'health', 'long', 'run']","['allowed', 'exempt', 'classes', 'day']"
Student,20,2,1,White,2.0,Different things health long run,0.0,Mostly trust,Mostly safe,Somewhat confident,streamlined clinic makes getting vaccine simple situation.,personal phobia needles biggest hurdle.,-0.025,0.5,negative,neutral,neutral,662,541,39,1,18,3,2,0,0,"['personal', 'phobia', 'needles', 'biggest', 'hurdle', '.']","['Different', 'things', 'health', 'long', 'run']","['streamlined', 'clinic', 'makes', 'getting', 'vaccine', 'simple', 'situation', '.']"
Student,21,2,0,White,2.0,Different things health long run,3.0,Mostly trust,Mostly safe,Somewhat confident,streamlined clinic makes getting vaccine simple situation.,personal phobia needles biggest hurdle.,-0.025,0.5,negative,neutral,neutral,662,541,39,1,18,3,2,0,0,"['personal', 'phobia', 'needles', 'biggest', 'hurdle', '.']","['Different', 'things', 'health', 'long', 'run']","['streamlined', 'clinic', 'makes', 'getting', 'vaccine', 'simple', 'situation', '.']"
Student,18,2,1,White,2.0,Different things health long run,0.0,Completely trust,Very safe,Very confident,Email updates eligibility,Lack communication appointment availability,-0.025,0.5,negative,neutral,neutral,97,118,39,1,18,4,0,3,2,"['Lack', 'communication', 'appointment', 'availability']","['Different', 'things', 'health', 'long', 'run']","['Email', 'updates', 'eligibility']"
Student,55,2,0,White,2.0,Different things health long run,3.0,Completely trust,Very safe,Very confident,Email updates eligibility,Lack communication appointment availability,-0.025,0.5,negative,neutral,neutral,97,118,39,1,18,4,0,3,2,"['Lack', 'communication', 'appointment', 'availability']","['Different', 'things', 'health', 'long', 'run']","['Email', 'updates', 'eligibility']"
