Respondent,Age,Gender,COVID-19 Jab?,Race,Any reason for Hesitation,Reasons for Hesitation,Hesistation Status,Trust Level,Safety Level,Confidence Level,Accessibility ,Obstacles
Staff,19,2,1,White,1,Different things about my health in the long run,,Mostly trust,Mostly safe,Somewhat confident,Making appointments ,Me being an hour and a half away from campus 
Student,20,2,0,White,2,,3,Mostly trust,Very safe,Very confident,,inability to have transportation to vaccination sites 
Student,19,1,0,White,2,,3,Mostly trust,Very safe,Very confident,If we were allowed to be exempt from classes for the day ,Scheduling 
Student,44,1,0,White,,,3,,,,,
Staff,30,1,1,White,,,0,,,,,
Staff,30,1,1,White,,,0,,,,,
Student,20,2,1,White,2,,0,Mostly trust,Mostly safe,Somewhat confident,A streamlined clinic that makes getting the vaccine a simple situation.,My personal phobia of needles is my biggest hurdle. 
Student,21,2,0,White,,,3,,,,,
Student,18,2,1,White,2,,0,Completely trust,Very safe,Very confident,Email updates about eligibility ,Lack of communication and appointment availability 
Student,55,2,0,White,,,3,,,,,
Staff,,2,1,White,,,0,,,,,
Staff,18,1,1,White,2,,0,Completely trust,Mostly safe,Very confident,,
Student,47,1,0,White,,,3,,,,,
Staff,19,2,1,White,2,,0,Mostly trust,Very safe,Very confident,It being distributed at hours early and later than 9-5. Ex 7â€“7,If their hours are limited
Student,20,2,0,White,,,3,,,,,
Student,19,1,1,White,2,,0,Completely trust,Very safe,Very confident,Good Info about where to go and what to do,A tight time slot to get it
Student,35,1,0,White,,,3,,,,,
Staff,21,2,1,White,1,Possibly infertility ,,Do not trust at all,Mostly safe,Only slightly confident,"No harmful side effects such as infertility, i am perfectly healthy and do want new conditions to arise due to a vaccine thatâ€™s been around less than a year ",Itâ€™s not about the money- itâ€™s about the research to prove the safety and effectiveness 
Student,25,2,0,White,,,3,,,,,
Staff,19,2,1,Asian,2,,0,Completely trust,Very safe,Very confident,,
Student,20,2,0,White,1,Different side effects ,,Mostly trust,Mostly safe,Very confident,,Availability for appetizers 
Student,58,2,0,White,,,3,,,,,
Staff,20,2,1,Biracial / Multiracial / Mixed,1,Bad 48 hours following ,,Mostly trust,Mostly safe,Somewhat confident,,Difficult access
Student,18,2,0,White,2,,3,Mostly trust,Very safe,Very confident,The location being close to campus if possible,If it was physically inaccessible and I could not get there
Student,19,2,0,White,2,,3,Mostly trust,Not sure,Somewhat confident,more places to get the vaccine,
Student,25,2,0,White,,,3,,,,,
Student,48,2,1,White,,,0,,,,,
Staff,19,3,1,White,2,,0,Somewhat trust,Mostly safe,Somewhat confident,,
Student,19,2,0,"Hispanic or Latinx,White",1,Aborted babies,,Completely trust,Mostly safe,Very confident,if they tested the housing,"practice and meets, sickness"
Student,30,2,0,"Hispanic or Latinx,White",,,3,,,,,
Staff,18,2,1,"Hispanic or Latinx,White",,,0,,,,,
Student,21,2,1,"Hispanic or Latinx,White",,,0,,,,,
Student,19,2,1,White,1,Could make women infertile,,Mostly trust,Very safe,Somewhat confident,Not sure,Not sure
Student,20,1,0,White,2,,3,Completely trust,Very safe,Very confident,Invite email,Nothing 
Student,21,1,0,White,1,"Nothing. Thatâ€™s the thing. Give it a few years, and Iâ€™ll take it",,Do not trust at all,Not sure,Not sure,Week off of school,Not having a week off of school
Student,22,1,0,White,2,,3,Completely trust,Very safe,Very confident,Appt times to receive it,"It being in Boone, it's doable but not preferred "
Student,,1,0,White,,,3,,,,,
